Invoice,,,Parts,,Labor,,Sublet,,HazMat & Fees,,Shop Supplies,,Discount,,Subtotal,,Tax,Total,Shop Name,Shop Identifier
Date,Number,URL,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed,Taxed,Untaxed
01/21/2022,21708,https://autohousenwa.shop-ware.com/work_orders/48744221,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AutoHouse Automotive,NWA
01/21/2022,21679,https://autohousenwa.shop-ware.com/work_orders/48557631,80.09,0.00,180.00,0.00,0.00,0.00,0.00,0.00,8.10,0.00,0.00,0.00,268.19,0.00,29.50,297.69,AutoHouse Automotive,NWA
01/21/2022,21672,https://autohousenwa.shop-ware.com/work_orders/48159593,121.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121.59,0.00,13.37,134.96,AutoHouse Automotive,NWA
01/21/2022,21715,https://autohousenwa.shop-ware.com/work_orders/48844573,37.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.32,0.00,4.11,41.43,AutoHouse Automotive,NWA
01/21/2022,21606,https://autohousenwa.shop-ware.com/work_orders/47313378,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,125.40,0.00,13.79,139.19,AutoHouse Automotive,NWA
01/21/2022,21668,https://autohousenwa.shop-ware.com/work_orders/48155013,542.84,0.00,480.00,0.00,0.00,0.00,0.00,0.00,21.60,0.00,102.28,0.00,942.16,0.00,103.64,1045.80,AutoHouse Automotive,NWA
01/22/2022,21673,https://autohousenwa.shop-ware.com/work_orders/48217150,308.90,0.00,95.00,0.00,0.00,0.00,6.00,0.00,6.30,0.00,0.00,0.00,416.20,0.00,45.78,461.98,AutoHouse Automotive,NWA
01/24/2022,21690,https://autohousenwa.shop-ware.com/work_orders/48569427,760.30,0.00,636.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,1421.30,0.00,156.34,1577.64,AutoHouse Automotive,NWA
01/24/2022,21560,https://autohousenwa.shop-ware.com/work_orders/46794413,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,6.00,0.00,56.70,0.00,6.24,62.94,AutoHouse Automotive,NWA
01/25/2022,21719,https://autohousenwa.shop-ware.com/work_orders/49009334,295.74,0.00,192.00,0.00,0.00,0.00,0.00,0.00,8.64,0.00,0.00,0.00,496.38,0.00,54.60,550.98,AutoHouse Automotive,NWA
01/26/2022,21723,https://autohousenwa.shop-ware.com/work_orders/49012851,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,125.40,0.00,13.79,139.19,AutoHouse Automotive,NWA
01/26/2022,21334,https://autohousenwa.shop-ware.com/work_orders/43277822,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AutoHouse Automotive,NWA
01/26/2022,21235,https://autohousenwa.shop-ware.com/work_orders/41875688,432.31,0.00,480.00,0.00,0.00,0.00,0.00,0.00,21.60,0.00,0.00,0.00,933.91,0.00,102.73,1036.64,AutoHouse Automotive,NWA
01/26/2022,21736,https://autohousenwa.shop-ware.com/work_orders/49076401,655.81,0.00,822.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,147.78,0.00,1355.03,0.00,149.06,1504.09,AutoHouse Automotive,NWA
01/26/2022,21739,https://autohousenwa.shop-ware.com/work_orders/49101749,233.57,0.00,200.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,442.57,0.00,48.68,491.25,AutoHouse Automotive,NWA
01/26/2022,21734,https://autohousenwa.shop-ware.com/work_orders/49052737,72.40,0.00,60.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,135.10,0.00,14.86,149.96,AutoHouse Automotive,NWA
01/27/2022,21599,https://autohousenwa.shop-ware.com/work_orders/47251241,324.75,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,336.75,0.00,37.04,373.79,AutoHouse Automotive,NWA
01/27/2022,21622,https://autohousenwa.shop-ware.com/work_orders/47779980,1996.50,0.00,1320.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,3341.50,0.00,367.57,3709.07,AutoHouse Automotive,NWA
01/27/2022,21662,https://autohousenwa.shop-ware.com/work_orders/48079208,382.08,0.00,312.00,0.00,0.00,0.00,0.00,0.00,14.04,0.00,0.00,0.00,708.12,0.00,77.89,786.01,AutoHouse Automotive,NWA
01/28/2022,21479,https://autohousenwa.shop-ware.com/work_orders/45273056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AutoHouse Automotive,NWA
01/28/2022,21756,https://autohousenwa.shop-ware.com/work_orders/49279852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AutoHouse Automotive,NWA
01/28/2022,21654,https://autohousenwa.shop-ware.com/work_orders/47992164,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,1.10,11.10,AutoHouse Automotive,NWA
01/28/2022,21742,https://autohousenwa.shop-ware.com/work_orders/49107650,0.00,0.00,240.00,0.00,0.00,0.00,0.00,0.00,10.80,0.00,0.00,0.00,250.80,0.00,27.59,278.39,AutoHouse Automotive,NWA
01/31/2022,21766,https://autohousenwa.shop-ware.com/work_orders/49481072,259.65,0.00,96.00,0.00,0.00,0.00,0.00,0.00,4.32,0.00,0.00,0.00,359.97,0.00,39.60,399.57,AutoHouse Automotive,NWA
01/31/2022,21717,https://autohousenwa.shop-ware.com/work_orders/49008912,1714.43,0.00,1380.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,309.44,0.00,2809.99,0.00,309.10,3119.09,AutoHouse Automotive,NWA
01/31/2022,21655,https://autohousenwa.shop-ware.com/work_orders/47993536,1363.56,0.00,1110.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,247.36,0.00,2251.20,0.00,247.63,2498.83,AutoHouse Automotive,NWA
01/31/2022,21686,https://autohousenwa.shop-ware.com/work_orders/48566336,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,62.70,0.00,6.90,69.60,AutoHouse Automotive,NWA
01/31/2022,21740,https://autohousenwa.shop-ware.com/work_orders/49102535,0.00,0.00,240.00,0.00,0.00,0.00,0.00,0.00,10.80,0.00,0.00,0.00,250.80,0.00,27.59,278.39,AutoHouse Automotive,NWA
02/01/2022,21782,https://autohousenwa.shop-ware.com/work_orders/49897824,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AutoHouse Automotive,NWA
02/01/2022,21691,https://autohousenwa.shop-ware.com/work_orders/48573487,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,125.40,0.00,13.79,139.19,AutoHouse Automotive,NWA
02/01/2022,21745,https://autohousenwa.shop-ware.com/work_orders/49130425,54.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,5.40,0.00,0.00,0.00,179.40,0.00,19.73,199.13,AutoHouse Automotive,NWA
02/01/2022,21781,https://autohousenwa.shop-ware.com/work_orders/49897335,24.64,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,5.46,0.00,50.53,0.00,5.56,56.09,AutoHouse Automotive,NWA
